AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-CC001-00001,1,The adapters/framework package provides format-neutral adapter framework checks for OpenPipeStress.,@repo/core/adapters/framework/__init__.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0002,5454c70d2c93,IN,SEC-CC001-0002,UNIT-CC001-0001,,
HBA-CC001-00452,17,Diagnostic RG-COORDINATE-BASIS-UNSUPPORTED (blocking) fires when payload does not declare coordinate basis gltf_y_up_right_handed_meters.,@repo/core/handoff/review_geometry/package.py:L374|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,aadb5b8cb237,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00453,18,Diagnostic RG-GEOMETRY-MISSING (blocking) fires when review geometry lacks at least one node and one centerline element.,@repo/core/handoff/review_geometry/package.py:L387|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,ccd9cbbd0335,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00454,19,Diagnostic RG-DUPLICATE-CANONICAL-ID (blocking) fires when review geometry contains duplicate canonical IDs.,@repo/core/handoff/review_geometry/package.py:L400|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,c19bc70d8bf5,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00455,20,Diagnostic RG-UNRESOLVED-NODE-REF (blocking) fires when a centerline element references a missing endpoint node.,@repo/core/handoff/review_geometry/package.py:L416|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,12a6183e2a0d,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00456,21,Diagnostic RG-ZERO-LENGTH-SEGMENT (blocking) fires when a centerline element has identical endpoint coordinates.,@repo/core/handoff/review_geometry/package.py:L430|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,d604bab37120,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00457,22,Diagnostic RG-GLTF-ASSET-VERSION-MISSING (blocking) fires when generated glTF does not declare asset.version 2.0.,@repo/core/handoff/review_geometry/package.py:L441|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,7b3a85e51894,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00458,23,Diagnostic RG-STABLE-ID-MAP-MISSING (blocking) fires when the package has no sidecar stable ID map entries.,@repo/core/handoff/review_geometry/package.py:L452|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,302792063129,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00459,24,Diagnostic RG-LOSS-CATEGORY-UNSUPPORTED (blocking) fires when a loss report entry uses a category outside the DEL-17-02 taxonomy.,@repo/core/handoff/review_geometry/package.py:L464|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,6c49f8304d3c,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00460,25,Diagnostic RG-ARTIFACT-FORMAT-UNSUPPORTED (blocking) fires when the profile artifact_format is not gltf_json_embedded_buffer.,@repo/core/handoff/review_geometry/package.py:L475|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,c0c3834f3eda,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00461,26,"Diagnostic RG-SOURCE-BASIS-REFS-MISSING (blocking) fires when the profile omits required source-basis references (DEL-17-01, DEL-17-02, GLTF-2.0).",@repo/core/handoff/review_geometry/package.py:L488|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,e6e785c859ae,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00462,27,Diagnostic RG-PROFILE-AUTHORITY-TERM (blocking) fires when export profile free metadata contains prohibited authority wording.,@repo/core/handoff/review_geometry/package.py:L499|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,d72bcb9a92bc,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00463,28,Diagnostic RG-PRIVACY-BOUNDARY-VIOLATION (blocking) fires when private/protected/commercial payload-embedded or telemetry_allowed privacy fields are true.,@repo/core/handoff/review_geometry/package.py:L516|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,7fc4c0a5b9c3,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00464,29,"write_review_geometry_export_package writes model.gltf plus manifest, id_map, loss_report, validation_report, and diagnostics JSON sidecars using deterministic encodings.",@repo/core/handoff/review_geometry/package.py:L536|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,d870cfce67fb,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00465,30,_checksum computes a sha256 JCS-compatible JSON payload hash with payload_ref and payload_scope metadata.,@repo/core/handoff/review_geometry/package.py:L722|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,ab57350301b3,IN,SEC-CC001-0043,UNIT-CC001-0004,,
HBA-CC001-00466,31,"core/handoff/stress_neutral package is the stress-neutral CSV/JSON export package foundation, exporting build, render, write, diagnostics, and canonical helpers.",@repo/core/handoff/stress_neutral/__init__.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0044,a9477c82ca5a,IN,SEC-CC001-0044,UNIT-CC001-0004,,
HBA-CC001-00467,32,"core/handoff/stress_neutral/package.py is the stress-neutral CSV/JSON export package builder for DEL-17-06, a project-owned review and regression artifact.",@repo/core/handoff/stress_neutral/package.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,d705094f98a9,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00468,33,"The stress-neutral package preserves result identity, units, source refs, stable IDs, loss reporting, diagnostics, provenance, privacy, and professional-boundary notices.",@repo/core/handoff/stress_neutral/package.py:L3|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,f0661ca0b08f,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00469,34,"The stress-neutral package does not become a vendor format, solver input deck, validation record, code-compliance record, or professional reliance record.",@repo/core/handoff/stress_neutral/package.py:L5|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,319c56f75c91,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00470,35,"Stress-neutral REQUIRED_SOURCE_BASIS_REFS are Deliverables DEL-08-04, DEL-14-02, DEL-14-05, and DEL-17-02.",@repo/core/handoff/stress_neutral/package.py:L26|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,a485d3cae3f7,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00471,36,"Stress-neutral CSV columns are: result_id, canonical_ref, row_kind, result_family, load_case_ref, station_ref, component_ref, value, unit, dimension, correlation_status.",@repo/core/handoff/stress_neutral/package.py:L42|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,12ff65e139e0,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00472,37,"The stress-neutral PROFESSIONAL_BOUNDARY requires human review, supports review/regression-comparison-input/downstream tooling, and makes no release, external-compatibility, solver-validation, compliance, certification, sealing, or approval claim.",@repo/core/handoff/stress_neutral/package.py:L67|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,ccec45fa387f,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00473,38,"Stress-neutral default boundary notes state it is a project-owned review/regression artifact, not a vendor format/solver input deck/target compatibility claim, with diagnostic-only comparison semantics excluding pass/fail tolerances.",@repo/core/handoff/stress_neutral/package.py:L92|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,4e3e05e2e0b7,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00474,39,"build_stress_neutral_export_package builds a deterministic stress-neutral CSV/JSON export package from source result/run/model refs, hashes, result rows, stable_id_map, and loss_report.",@repo/core/handoff/stress_neutral/package.py:L100|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,235a33628389,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00475,40,render_stress_neutral_csv renders deterministic stress-neutral CSV text from normalized rows sorted by result_id.,@repo/core/handoff/stress_neutral/package.py:L250|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,03ef1925115c,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00476,41,diagnostics_for_stress_neutral_export_package returns deterministic diagnostics for stress-neutral package boundaries.,@repo/core/handoff/stress_neutral/package.py:L275|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,e48f50e0bd4e,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00477,42,Diagnostic SN-RESULT-ROWS-MISSING (blocking) fires when the package has no result rows.,@repo/core/handoff/stress_neutral/package.py:L287|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,654a7820c87e,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00478,43,Diagnostic SN-STABLE-ID-MAP-MISSING (blocking) fires when the package has no stable ID map entries.,@repo/core/handoff/stress_neutral/package.py:L298|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,277e27f0638c,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00479,44,Diagnostic SN-LOSS-REPORT-MISSING (blocking) fires when the package has no loss report entries.,@repo/core/handoff/stress_neutral/package.py:L309|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,846a5d760a42,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00480,45,Diagnostic SN-UNIT-DIMENSION-MISSING (blocking) fires when a result row is missing unit or dimension metadata.,@repo/core/handoff/stress_neutral/package.py:L321|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,7a4a03a0cc14,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00481,46,Diagnostic SN-LOSS-CATEGORY-UNSUPPORTED (blocking) fires when a loss report entry uses a category outside the DEL-17-02 taxonomy.,@repo/core/handoff/stress_neutral/package.py:L333|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,562383ee58b8,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00482,47,Diagnostic SN-COMPARISON-SEMANTICS-UNSAFE (blocking) fires when the profile comparison_semantics is not diagnostic_export_only_no_pass_fail.,@repo/core/handoff/stress_neutral/package.py:L344|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,516df2b05904,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00483,48,Diagnostic SN-SOURCE-BASIS-REFS-MISSING (blocking) fires when the profile omits required result/export/run/comparison source-basis references.,@repo/core/handoff/stress_neutral/package.py:L357|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,bc249d11a151,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00484,49,Diagnostic SN-PROFILE-AUTHORITY-TERM (blocking) fires when export profile free metadata contains authority wording.,@repo/core/handoff/stress_neutral/package.py:L368|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,940fd8af533a,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00485,50,Diagnostic SN-PRIVACY-BOUNDARY-VIOLATION (blocking) fires when private/protected/commercial payload-embedded or telemetry_allowed privacy fields are true.,@repo/core/handoff/stress_neutral/package.py:L385|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,fe4614968a56,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00486,51,"canonical_csv normalizes CSV text (CRLF/CR to LF, rstripped lines, trailing blank lines removed) for deterministic hashing and writing.",@repo/core/handoff/stress_neutral/package.py:L405|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,edf351ed70f0,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00487,52,"write_stress_neutral_export_package writes stress_neutral_results.csv (ascii) plus manifest, result_rows, stable_id_map, loss_report, validation_report, and diagnostics JSON sidecars.",@repo/core/handoff/stress_neutral/package.py:L414|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,b086d34ceaa8,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00488,53,"_unit_system_disclosure records unit system ref, storage convention entered_units_preserved, model/result/target units, conversion policy/performed/scope, and decision_basis_refs (DEC-018, DEL-02-02).",@repo/core/handoff/stress_neutral/package.py:L581|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,adefe6ad8dc8,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00489,54,Stress-neutral storage convention preserves entered units; default conversion policy is result_row_units_preserved_no_export_time_conversion with conversion_performed false.,@repo/core/handoff/stress_neutral/package.py:L596|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0045,a96fd83a0c30,IN,SEC-CC001-0045,UNIT-CC001-0004,,
HBA-CC001-00490,55,core/handoff/target_mapping package exports target mapping and unsupported-behavior contract helpers including build_target_mapping_contract and diagnostics_for_target_mapping_contract.,@repo/core/handoff/target_mapping/__init__.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0046,2a151e291b91,IN,SEC-CC001-0046,UNIT-CC001-0004,,
HBA-CC001-00491,56,core/handoff/target_mapping/contract.py is the provider-neutral target mapping contract for DEL-15-02 recording mapping metadata and unsupported/approximate behavior.,@repo/core/handoff/target_mapping/contract.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,6a66cb732336,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00492,57,"The target mapping contract does not select a commercial target, invoke an external solver, or make professional acceptance claims.",@repo/core/handoff/target_mapping/contract.py:L3|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,22cd0ec3dbe4,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00493,58,"Supported target system kinds are: local_fea, external_prover, commercial_tool_reference, generic_downstream_modeling, and TBD.",@repo/core/handoff/target_mapping/contract.py:L21|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,3813b51ef4e3,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00494,59,"Supported mapping kinds are: entity, field, unit, result, load_case, boundary_condition, and metadata.",@repo/core/handoff/target_mapping/contract.py:L28|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,cf15ae5c7899,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00495,60,"Supported behavior statuses are: unsupported, approximate, requires_human_review, not_implemented, and TBD.",@repo/core/handoff/target_mapping/contract.py:L37|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,679b1206824b,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00496,61,"Unit value kinds requiring unit metadata are: quantity, unit, and dimensioned_quantity.",@repo/core/handoff/target_mapping/contract.py:L44|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,26efbb01f27b,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00497,62,"build_target_mapping_contract builds a deterministic DEL-15-02 target mapping contract envelope (PKG-15, SOW-074, OBJ-017) with mapping records and unsupported/approximate behavior flags.",@repo/core/handoff/target_mapping/contract.py:L67|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,79ed2da6fc7a,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00498,63,diagnostics_for_target_mapping_contract returns deterministic diagnostics for missing mapping context.,@repo/core/handoff/target_mapping/contract.py:L110|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,f8ec8d13ef97,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00499,64,Diagnostic TM-TARGET-KIND-UNSUPPORTED (blocking) fires when target system kind is not part of the provider-neutral taxonomy.,@repo/core/handoff/target_mapping/contract.py:L115|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,d72353068a46,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00500,65,Diagnostic TM-SOURCE-CONTEXT-MISSING (blocking) fires when target mapping lacks the required source_context object.,@repo/core/handoff/target_mapping/contract.py:L131|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,96f684e80b19,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00501,66,"Source context must carry model_hash, units_manifest_ref, entity_id_refs, library_refs, rule_pack_refs, unresolved_assumption_refs, warning_refs, and privacy_context, else TM-SOURCE-CONTEXT-FIELD-MISSING fires.",@repo/core/handoff/target_mapping/contract.py:L140|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,941157f26ac1,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00502,67,Diagnostic TM-MAPPING-KIND-UNSUPPORTED (warning) fires when a mapping kind is outside the provider-neutral taxonomy.,@repo/core/handoff/target_mapping/contract.py:L227|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,60ee6ae9bf57,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00503,68,Diagnostic TM-UNIT-METADATA-MISSING (blocking) fires when unit-bearing mapped values lack explicit unit and dimension metadata.,@repo/core/handoff/target_mapping/contract.py:L238|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,1c34770e2cc5,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00504,69,Diagnostic TM-MAPPING-DISCLOSURE-MISSING (warning) fires when unsupported/approximate mappings lack assumption_refs or warning_refs.,@repo/core/handoff/target_mapping/contract.py:L251|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,48735e7dfcc0,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00505,70,Diagnostic TM-PROHIBITED-AUTHORITY-TERM (blocking) fires when a behavior label contains prohibited authority or lifecycle wording.,@repo/core/handoff/target_mapping/contract.py:L270|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,d6129936b67e,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00506,71,Diagnostic TM-BEHAVIOR-STATUS-UNSUPPORTED (blocking) fires when an unsupported behavior status is not part of the contract taxonomy.,@repo/core/handoff/target_mapping/contract.py:L281|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,0ca5906814e1,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00507,72,Diagnostic TM-HUMAN-REVIEW-REQUIRED (blocking) fires when unsupported/approximate target behavior does not require human review.,@repo/core/handoff/target_mapping/contract.py:L292|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,79fb04fea0b7,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00508,73,Diagnostic TM-AFFECTED-REFS-MISSING (warning) fires when unsupported behavior does not identify affected source or target records.,@repo/core/handoff/target_mapping/contract.py:L303|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0047,271aa07a9dcd,IN,SEC-CC001-0047,UNIT-CC001-0004,,
HBA-CC001-00509,74,"provenance_checker.py validates already-parsed material, section, and component library payloads at the import boundary.",@repo/core/library_import/README.md:L3|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0049,68f614196ffb,IN,SEC-CC001-0049,UNIT-CC001-0004,,
HBA-CC001-00510,75,"The provenance checker checks required provenance fields, redistribution/review disposition for public imports, private-only data handling, suspected protected-content quarantine, and unit/value-level provenance metadata for imported numeric values.",@repo/core/library_import/README.md:L8|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0049,0ea58ae4d6ab,IN,SEC-CC001-0049,UNIT-CC001-0004,,
HBA-CC001-00511,76,The provenance checker projects import findings into a PKG-02-style diagnostic envelope.,@repo/core/library_import/README.md:L13|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0049,8ce092a1f524,IN,SEC-CC001-0049,UNIT-CC001-0004,,
HBA-CC001-00512,77,The provenance checker does not parse external file formats and does not make legal conclusions about licenses or redistribution rights; unresolved rights remain review findings for the human project authority.,@repo/core/library_import/README.md:L15|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0049,850c15c9d767,IN,SEC-CC001-0049,UNIT-CC001-0004,,
HBA-CC001-00513,78,"The open_pipe_stress_library_import_document crate (version 0.1.0, edition 2021) is the runtime Rust port of the DEL-03-07 provenance-checker contract for library-import payload validation.",@repo/core/library_import/library_import_document/Cargo.toml:L2|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0050,55de33362a04,IN,SEC-CC001-0050,UNIT-CC001-0004,,
HBA-CC001-00514,79,"The library-import document crate makes no professional, certification, sealing, authentication, or code-compliance claims and performs no external file-format parsing or legal license determinations.",@repo/core/library_import/library_import_document/Cargo.toml:L5|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0050,0b439c15af9a,IN,SEC-CC001-0050,UNIT-CC001-0004,,
HBA-CC001-00515,80,The library-import document crate depends on serde (with derive) and serde_json version 1.,@repo/core/library_import/library_import_document/Cargo.toml:L7|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0050,c7dad71effbb,IN,SEC-CC001-0050,UNIT-CC001-0004,,
HBA-CC001-00516,81,"open_pipe_stress_library_import_document is a runtime validation seam for material, section, and component library import payloads.",@repo/core/library_import/library_import_document/README.md:L3|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0052,fea42d2372d3,IN,SEC-CC001-0052,UNIT-CC001-0004,,
HBA-CC001-00517,82,The library-import document crate is the runtime Rust port of the DEL-03-07 import provenance contract; provenance_checker.py is the design authority and the crate reproduces its semantics for the Tauri/Rust desktop runtime.,@repo/core/library_import/library_import_document/README.md:L4|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0052,f4a563a2d0d6,IN,SEC-CC001-0052,UNIT-CC001-0004,,
HBA-CC001-00518,83,"At the already-parsed payload boundary the crate checks required provenance fields, redistribution/review disposition for public imports, private-only data handling, suspected protected-content quarantine, unit/value-level provenance, and PKG-02-style diagnostic envelope projection.",@repo/core/library_import/library_import_document/README.md:L14|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0052,3ec69e351554,IN,SEC-CC001-0052,UNIT-CC001-0004,,
HBA-CC001-00519,84,"The crate does not parse external file formats or make legal license/redistribution determinations; no status it emits is a professional, certification, sealing, authentication, or code-compliance claim — every status is a software finding only.",@repo/core/library_import/library_import_document/README.md:L21|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0052,19d2e3cec50c,IN,SEC-CC001-0052,UNIT-CC001-0004,,
HBA-CC001-00520,85,"Public API: validate_library_import(payload, library_kind, intended_visibility) returns an ImportValidationResult.",@repo/core/library_import/library_import_document/README.md:L29|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0053,9680ca96676b,IN,SEC-CC001-0053,UNIT-CC001-0004,,
HBA-CC001-00521,86,"The seam entry point validate_library_import_tokens(payload, material|section|component, public|private) returns Err for unsupported tokens and never guesses.",@repo/core/library_import/library_import_document/README.md:L30|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0053,4fee77f9b6bc,IN,SEC-CC001-0053,UNIT-CC001-0004,,
HBA-CC001-00522,87,"ImportValidationResult carries outcome, library_kind, intended_visibility, accepted, and findings, with diagnostics() projecting findings into the PKG-02 envelope.",@repo/core/library_import/library_import_document/README.md:L32|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0053,2c26deadfcea,IN,SEC-CC001-0053,UNIT-CC001-0004,,
HBA-CC001-00523,88,"An import outcome is one of QUARANTINE, REJECTED, REVIEW_REQUIRED, PRIVATE_LOCAL_ONLY, or ACCEPTED_PUBLIC, in that severity precedence order.",@repo/core/library_import/library_import_document/README.md:L35|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0053,abca99d347e7,IN,SEC-CC001-0053,UNIT-CC001-0004,,
HBA-CC001-00524,89,"tests/provenance_parity.rs mirrors tests/test_library_import_provenance.py one-for-one over the same invented fixtures, guarding against silent divergence between the Rust and Python implementations.",@repo/core/library_import/library_import_document/README.md:L40|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0054,94b5e7953cec,IN,SEC-CC001-0054,UNIT-CC001-0004,,
HBA-CC001-00525,90,The library-import provenance validation seam (lib.rs) is the runtime port of DEL-03-07 validating already-parsed material/section/component import payloads at the import boundary.,@repo/core/library_import/library_import_document/src/lib.rs:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,a90ea4c06fbf,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00526,91,"Like the Python contract, the Rust crate does not parse external file formats or make legal license/redistribution determinations, and emits only software findings, not professional/certification/sealing/authentication/code-compliance claims.",@repo/core/library_import/library_import_document/src/lib.rs:L12|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,c158ff2ceeee,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00527,92,"REQUIRED_PROVENANCE_FIELDS are the seven fields source_name, source_location, source_license, contributor, contributor_certification, redistribution_status, and review_status, mirroring the Python contract.",@repo/core/library_import/library_import_document/src/lib.rs:L25|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,65c0fdf89d7e,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00528,93,"Redistribution status constants: PUBLIC_OK_REDIS_STATUS is public_permissive, PRIVATE_REDIS_STATUS is private_only, and PROTECTED_REDIS_STATUS is protected_suspected.",@repo/core/library_import/library_import_document/src/lib.rs:L35|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,b14926bdd181,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00529,94,"LibraryKind enum (Material, Section, Component) mirrors the Python RECORD_KEYS dispatch table.",@repo/core/library_import/library_import_document/src/lib.rs:L46|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,7e146acd7a6a,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00530,95,LibraryKind::from_token parses material/section/component tokens and returns None for unsupported kinds rather than guessing.,@repo/core/library_import/library_import_document/src/lib.rs:L60|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,355eec71e0e0,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00531,96,"Each LibraryKind maps to a (library_metadata_key, records_array_key) pair, e.g. material_library/material_records.",@repo/core/library_import/library_import_document/src/lib.rs:L70|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,69055b39fb76,IN,SEC-CC001-0055,UNIT-CC001-0004,,
HBA-CC001-00532,97,"IntendedVisibility enum (Public, Private) mirrors the Python intended_visibility argument and parses public/private tokens.",@repo/core/library_import/library_import_document/src/lib.rs:L92|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0055,611dfe190af3,IN,SEC-CC001-0055,UNIT-CC001-0004,,
